tau_tdds,signal1,reference1,signal2,reference2,signal1_cts_s,reference1_cts_s,signal2_cts_s,reference2_cts_s,contrast
3930.984375,6904,8447,7276,8384,203933.53846153844,249511.3846153846,214921.84615384613,247650.4615384615,0.9488730071467839
3956.049479166667,6800,8581,7292,8470,200861.53846153844,253469.53846153844,215394.4615384615,250190.7692307692,0.9325287986834887
3981.1145833333335,6966,8449,7372,8507,205764.92307692303,249570.4615384615,217757.53846153844,251283.69230769228,0.9449267498643517
4006.1796875,6949,8594,7236,8609,205262.7692307692,253853.53846153844,213740.30769230766,254296.61538461535,0.9603372028745163
4031.244791666667,6861,8496,7212,8617,202663.3846153846,250958.7692307692,213031.3846153846,254532.92307692303,0.9513311148086523
4056.3098958333335,6957,8420,7156,8481,205499.0769230769,248713.84615384613,211377.23076923075,250515.69230769228,0.9721911682504192
4081.375,6923,8464,7110,8583,204494.7692307692,250013.53846153844,210018.4615384615,253528.61538461535,0.9736990154711673
4106.440104166667,7073,8476,7191,8430,208925.53846153844,250367.99999999997,212411.0769230769,249009.23076923072,0.9835905993603115
4131.505208333334,6967,8571,7174,8612,205794.4615384615,253174.15384615381,211908.92307692303,254385.23076923072,0.9711458042932813
4156.5703125,6968,8552,7197,8515,205823.99999999997,252612.92307692303,212588.30769230766,251519.99999999997,0.9681811866055301
4181.635416666667,6910,8338,7150,8381,204110.7692307692,246291.69230769228,211199.99999999997,247561.84615384613,0.9664335664335665
4206.700520833334,6999,8590,7119,8502,206739.69230769228,253735.3846153846,210284.30769230766,251135.99999999997,0.9831436999578592
4231.765625,6770,8554,7199,8492,199975.3846153846,252671.99999999997,212647.3846153846,250840.61538461535,0.9404083900541742
4256.830729166667,7062,8314,7195,8579,208600.61538461535,245582.7692307692,212529.23076923075,253410.4615384615,0.9815149409312022
4281.895833333334,6920,8664,7410,8322,204406.15384615381,255921.23076923072,218879.99999999997,245819.07692307688,0.9338731443994602
4306.9609375,6826,8354,7240,8602,201629.53846153844,246764.30769230766,213858.4615384615,254089.84615384613,0.9428176795580111
4332.026041666667,6963,8480,7199,8485,205676.30769230766,250486.15384615381,212647.3846153846,250633.84615384613,0.9672176691207112
4357.091145833334,6971,8472,7256,8574,205912.61538461535,250249.84615384613,214331.0769230769,253262.7692307692,0.9607221609702316
4382.15625,6916,8324,7212,8530,204287.99999999997,245878.15384615381,213031.3846153846,251963.07692307688,0.9589572933998891
4407.221354166667,7049,8554,7304,8415,208216.61538461535,252671.99999999997,215748.92307692303,248566.15384615381,0.9650876232201533
4432.286458333334,6965,8574,7291,8508,205735.3846153846,253262.7692307692,215364.92307692303,251313.23076923072,0.9552873405568509
